transaction_id,date,day_of_week,hour,product,category,quantity,unit_price,total,payment_method
TX00001,2024-01-01,Monday,19,Cheesecake,Dessert,1,140,140,Card
TX00002,2024-01-01,Monday,8,Croissant,Pastry,1,75,75,Cash
TX00003,2024-01-01,Monday,8,Sandwich,Food,2,130,260,Card
TX00004,2024-01-01,Monday,10,Latte,Coffee,1,95,95,Card
TX00005,2024-01-01,Monday,13,Cappuccino,Coffee,1,90,90,Card
TX00006,2024-01-01,Monday,11,Cappuccino,Coffee,1,90,90,Cash
TX00007,2024-01-01,Monday,10,Filter Coffee,Coffee,1,70,70,Card
TX00008,2024-01-01,Monday,17,Cappuccino,Coffee,1,90,90,Mobile
TX00009,2024-01-01,Monday,21,Croissant,Pastry,1,75,75,Card
TX00010,2024-01-01,Monday,18,Green Tea,Tea,1,45,45,Card
TX00011,2024-01-01,Monday,8,Croissant,Pastry,1,75,75,Cash
TX00012,2024-01-01,Monday,11,Filter Coffee,Coffee,1,70,70,Card
TX00013,2024-01-01,Monday,21,Brownie,Dessert,2,110,220,Mobile
TX00014,2024-01-01,Monday,17,Sandwich,Food,1,130,130,Card
TX00015,2024-01-01,Monday,8,Cappuccino,Coffee,1,90,90,Card
TX00016,2024-01-01,Monday,19,Black Tea,Tea,1,35,35,Card
TX00017,2024-01-01,Monday,9,Croissant,Pastry,1,75,75,Mobile
TX00018,2024-01-01,Monday,19,Cappuccino,Coffee,1,90,90,Cash
TX00019,2024-01-01,Monday,18,Brownie,Dessert,2,110,220,Card
TX00020,2024-01-01,Monday,12,Latte,Coffee,2,95,190,Cash
TX00021,2024-01-01,Monday,12,Espresso,Coffee,1,65,65,Card
TX00022,2024-01-01,Monday,19,Cheesecake,Dessert,2,140,280,Card
TX00023,2024-01-01,Monday,9,Green Tea,Tea,2,45,90,Card
TX00024,2024-01-01,Monday,19,Green Tea,Tea,1,45,45,Card
TX00025,2024-01-01,Monday,8,Espresso,Coffee,1,65,65,Cash
TX00026,2024-01-01,Monday,11,Filter Coffee,Coffee,2,70,140,Card
TX00027,2024-01-01,Monday,13,Brownie,Dessert,1,110,110,Card
TX00028,2024-01-01,Monday,11,Latte,Coffee,2,95,190,Cash
TX00029,2024-01-01,Monday,17,Croissant,Pastry,2,75,150,Card
TX00030,2024-01-01,Monday,20,Cheesecake,Dessert,2,140,280,Mobile
TX00031,2024-01-01,Monday,11,Espresso,Coffee,1,65,65,Card
TX00032,2024-01-01,Monday,19,Croissant,Pastry,1,75,75,Card
TX00033,2024-01-01,Monday,13,Cappuccino,Coffee,1,90,90,Card
TX00034,2024-01-01,Monday,21,Black Tea,Tea,1,35,35,Cash
TX00035,2024-01-01,Monday,12,Sandwich,Food,2,130,260,Card
TX00036,2024-01-01,Monday,14,Filter Coffee,Coffee,1,70,70,Card
TX00037,2024-01-01,Monday,17,Green Tea,Tea,1,45,45,Card
TX00038,2024-01-01,Monday,20,Cappuccino,Coffee,1,90,90,Card
TX00039,2024-01-01,Monday,22,Cappuccino,Coffee,1,90,90,Cash
TX00040,2024-01-01,Monday,10,Green Tea,Tea,1,45,45,Cash
TX00041,2024-01-01,Monday,17,Cheesecake,Dessert,1,140,140,Cash
TX00042,2024-01-01,Monday,11,Latte,Coffee,1,95,95,Card
TX00043,2024-01-01,Monday,18,Espresso,Coffee,1,65,65,Card
TX00044,2024-01-01,Monday,18,Cappuccino,Coffee,1,90,90,Card
TX00045,2024-01-01,Monday,21,Latte,Coffee,1,95,95,Card
TX00046,2024-01-01,Monday,20,Sandwich,Food,1,130,130,Cash
TX00047,2024-01-01,Monday,19,Cheesecake,Dessert,1,140,140,Card
TX00048,2024-01-01,Monday,9,Croissant,Pastry,2,75,150,Cash
TX00049,2024-01-01,Monday,12,Filter Coffee,Coffee,1,70,70,Mobile
TX00050,2024-01-01,Monday,20,Brownie,Dessert,1,110,110,Card
TX00051,2024-01-01,Monday,9,Croissant,Pastry,1,75,75,Card
TX00052,2024-01-01,Monday,9,Black Tea,Tea,1,35,35,Card
TX00053,2024-01-01,Monday,15,Cheesecake,Dessert,1,140,140,Card
TX00054,2024-01-01,Monday,18,Cappuccino,Coffee,1,90,90,Cash
TX00055,2024-01-01,Monday,18,Croissant,Pastry,1,75,75,Card
TX00056,2024-01-01,Monday,9,Cappuccino,Coffee,1,90,90,Card
TX00057,2024-01-01,Monday,21,Black Tea,Tea,2,35,70,Cash
TX00058,2024-01-01,Monday,19,Green Tea,Tea,1,45,45,Card
TX00059,2024-01-01,Monday,10,Green Tea,Tea,1,45,45,Card
TX00060,2024-01-01,Monday,18,Cappuccino,Coffee,2,90,180,Mobile
TX00061,2024-01-01,Monday,20,Black Tea,Tea,1,35,35,Mobile
TX00062,2024-01-01,Monday,13,Sandwich,Food,2,130,260,Cash
TX00063,2024-01-01,Monday,11,Cappuccino,Coffee,2,90,180,Card
TX00064,2024-01-01,Monday,9,Filter Coffee,Coffee,2,70,140,Cash
TX00065,2024-01-01,Monday,16,Espresso,Coffee,1,65,65,Mobile
TX00066,2024-01-01,Monday,9,Filter Coffee,Coffee,2,70,140,Cash
TX00067,2024-01-01,Monday,18,Brownie,Dessert,1,110,110,Card
TX00068,2024-01-01,Monday,19,Croissant,Pastry,2,75,150,Mobile
TX00069,2024-01-01,Monday,14,Green Tea,Tea,2,45,90,Cash
TX00070,2024-01-01,Monday,18,Brownie,Dessert,2,110,220,Card
TX00071,2024-01-01,Monday,12,Espresso,Coffee,1,65,65,Card
TX00072,2024-01-01,Monday,13,Green Tea,Tea,1,45,45,Card
TX00073,2024-01-01,Monday,8,Espresso,Coffee,2,65,130,Card
TX00074,2024-01-01,Monday,9,Filter Coffee,Coffee,2,70,140,Card
TX00075,2024-01-01,Monday,17,Latte,Coffee,1,95,95,Card
TX00076,2024-01-01,Monday,15,Cheesecake,Dessert,1,140,140,Mobile
TX00077,2024-01-01,Monday,14,Filter Coffee,Coffee,2,70,140,Card
TX00078,2024-01-01,Monday,13,Espresso,Coffee,1,65,65,Mobile
TX00079,2024-01-01,Monday,19,Brownie,Dessert,1,110,110,Card
TX00080,2024-01-01,Monday,9,Latte,Coffee,1,95,95,Cash
TX00081,2024-01-02,Tuesday,18,Filter Coffee,Coffee,2,70,140,Cash
TX00082,2024-01-02,Tuesday,15,Cheesecake,Dessert,1,140,140,Card
TX00083,2024-01-02,Tuesday,12,Brownie,Dessert,1,110,110,Card
TX00084,2024-01-02,Tuesday,8,Espresso,Coffee,2,65,130,Cash
TX00085,2024-01-02,Tuesday,13,Espresso,Coffee,1,65,65,Card
TX00086,2024-01-02,Tuesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00087,2024-01-02,Tuesday,17,Espresso,Coffee,1,65,65,Cash
TX00088,2024-01-02,Tuesday,14,Croissant,Pastry,1,75,75,Card
TX00089,2024-01-02,Tuesday,8,Black Tea,Tea,1,35,35,Card
TX00090,2024-01-02,Tuesday,21,Cheesecake,Dessert,1,140,140,Cash
TX00091,2024-01-02,Tuesday,13,Green Tea,Tea,2,45,90,Card
TX00092,2024-01-02,Tuesday,21,Sandwich,Food,1,130,130,Card
TX00093,2024-01-02,Tuesday,9,Espresso,Coffee,1,65,65,Cash
TX00094,2024-01-02,Tuesday,8,Cappuccino,Coffee,2,90,180,Card
TX00095,2024-01-02,Tuesday,19,Filter Coffee,Coffee,1,70,70,Cash
TX00096,2024-01-02,Tuesday,17,Sandwich,Food,1,130,130,Cash
TX00097,2024-01-02,Tuesday,11,Latte,Coffee,2,95,190,Cash
TX00098,2024-01-02,Tuesday,22,Black Tea,Tea,1,35,35,Cash
TX00099,2024-01-02,Tuesday,12,Sandwich,Food,2,130,260,Card
TX00100,2024-01-02,Tuesday,19,Brownie,Dessert,1,110,110,Mobile
TX00101,2024-01-02,Tuesday,14,Croissant,Pastry,1,75,75,Mobile
TX00102,2024-01-02,Tuesday,12,Espresso,Coffee,2,65,130,Card
TX00103,2024-01-02,Tuesday,11,Sandwich,Food,2,130,260,Card
TX00104,2024-01-02,Tuesday,17,Green Tea,Tea,1,45,45,Card
TX00105,2024-01-02,Tuesday,18,Brownie,Dessert,2,110,220,Cash
TX00106,2024-01-02,Tuesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00107,2024-01-02,Tuesday,13,Croissant,Pastry,1,75,75,Card
TX00108,2024-01-02,Tuesday,9,Cheesecake,Dessert,1,140,140,Card
TX00109,2024-01-02,Tuesday,9,Green Tea,Tea,1,45,45,Cash
TX00110,2024-01-02,Tuesday,18,Latte,Coffee,1,95,95,Mobile
TX00111,2024-01-02,Tuesday,12,Filter Coffee,Coffee,2,70,140,Mobile
TX00112,2024-01-02,Tuesday,22,Brownie,Dessert,1,110,110,Card
TX00113,2024-01-02,Tuesday,19,Cheesecake,Dessert,1,140,140,Mobile
TX00114,2024-01-02,Tuesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00115,2024-01-02,Tuesday,8,Espresso,Coffee,1,65,65,Cash
TX00116,2024-01-02,Tuesday,19,Cheesecake,Dessert,2,140,280,Card
TX00117,2024-01-02,Tuesday,11,Croissant,Pastry,1,75,75,Mobile
TX00118,2024-01-02,Tuesday,8,Sandwich,Food,1,130,130,Mobile
TX00119,2024-01-02,Tuesday,14,Sandwich,Food,1,130,130,Card
TX00120,2024-01-02,Tuesday,21,Green Tea,Tea,1,45,45,Cash
TX00121,2024-01-02,Tuesday,13,Cheesecake,Dessert,1,140,140,Mobile
TX00122,2024-01-02,Tuesday,8,Latte,Coffee,2,95,190,Mobile
TX00123,2024-01-02,Tuesday,13,Cheesecake,Dessert,1,140,140,Card
TX00124,2024-01-02,Tuesday,13,Filter Coffee,Coffee,1,70,70,Card
TX00125,2024-01-02,Tuesday,21,Sandwich,Food,1,130,130,Card
TX00126,2024-01-02,Tuesday,11,Croissant,Pastry,1,75,75,Card
TX00127,2024-01-02,Tuesday,20,Croissant,Pastry,2,75,150,Cash
TX00128,2024-01-02,Tuesday,17,Green Tea,Tea,2,45,90,Cash
TX00129,2024-01-02,Tuesday,8,Espresso,Coffee,1,65,65,Cash
TX00130,2024-01-02,Tuesday,22,Latte,Coffee,1,95,95,Card
TX00131,2024-01-02,Tuesday,21,Croissant,Pastry,2,75,150,Card
TX00132,2024-01-02,Tuesday,13,Cappuccino,Coffee,1,90,90,Cash
TX00133,2024-01-02,Tuesday,19,Sandwich,Food,3,130,390,Card
TX00134,2024-01-02,Tuesday,19,Sandwich,Food,2,130,260,Card
TX00135,2024-01-02,Tuesday,13,Latte,Coffee,2,95,190,Card
TX00136,2024-01-02,Tuesday,10,Black Tea,Tea,1,35,35,Card
TX00137,2024-01-02,Tuesday,9,Black Tea,Tea,1,35,35,Cash
TX00138,2024-01-02,Tuesday,14,Croissant,Pastry,1,75,75,Card
TX00139,2024-01-02,Tuesday,20,Black Tea,Tea,1,35,35,Card
TX00140,2024-01-02,Tuesday,19,Cheesecake,Dessert,1,140,140,Card
TX00141,2024-01-02,Tuesday,9,Espresso,Coffee,1,65,65,Card
TX00142,2024-01-02,Tuesday,12,Black Tea,Tea,2,35,70,Card
TX00143,2024-01-02,Tuesday,14,Brownie,Dessert,1,110,110,Cash
TX00144,2024-01-02,Tuesday,20,Sandwich,Food,1,130,130,Mobile
TX00145,2024-01-02,Tuesday,14,Cappuccino,Coffee,1,90,90,Mobile
TX00146,2024-01-02,Tuesday,14,Filter Coffee,Coffee,1,70,70,Card
TX00147,2024-01-02,Tuesday,8,Espresso,Coffee,1,65,65,Card
TX00148,2024-01-02,Tuesday,9,Black Tea,Tea,1,35,35,Card
TX00149,2024-01-02,Tuesday,20,Green Tea,Tea,1,45,45,Card
TX00150,2024-01-02,Tuesday,10,Espresso,Coffee,1,65,65,Card
TX00151,2024-01-02,Tuesday,9,Espresso,Coffee,1,65,65,Card
TX00152,2024-01-02,Tuesday,10,Cappuccino,Coffee,1,90,90,Cash
TX00153,2024-01-02,Tuesday,8,Croissant,Pastry,1,75,75,Card
TX00154,2024-01-03,Wednesday,19,Brownie,Dessert,1,110,110,Card
TX00155,2024-01-03,Wednesday,12,Black Tea,Tea,1,35,35,Card
TX00156,2024-01-03,Wednesday,13,Brownie,Dessert,1,110,110,Card
TX00157,2024-01-03,Wednesday,18,Sandwich,Food,1,130,130,Card
TX00158,2024-01-03,Wednesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00159,2024-01-03,Wednesday,11,Cappuccino,Coffee,1,90,90,Card
TX00160,2024-01-03,Wednesday,10,Cappuccino,Coffee,1,90,90,Mobile
TX00161,2024-01-03,Wednesday,17,Brownie,Dessert,2,110,220,Card
TX00162,2024-01-03,Wednesday,9,Filter Coffee,Coffee,1,70,70,Cash
TX00163,2024-01-03,Wednesday,13,Latte,Coffee,1,95,95,Card
TX00164,2024-01-03,Wednesday,18,Cheesecake,Dessert,1,140,140,Mobile
TX00165,2024-01-03,Wednesday,17,Cappuccino,Coffee,1,90,90,Card
TX00166,2024-01-03,Wednesday,10,Latte,Coffee,1,95,95,Card
TX00167,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00168,2024-01-03,Wednesday,13,Sandwich,Food,1,130,130,Card
TX00169,2024-01-03,Wednesday,21,Croissant,Pastry,2,75,150,Card
TX00170,2024-01-03,Wednesday,9,Black Tea,Tea,2,35,70,Card
TX00171,2024-01-03,Wednesday,16,Cappuccino,Coffee,2,90,180,Card
TX00172,2024-01-03,Wednesday,11,Filter Coffee,Coffee,1,70,70,Card
TX00173,2024-01-03,Wednesday,9,Black Tea,Tea,1,35,35,Card
TX00174,2024-01-03,Wednesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00175,2024-01-03,Wednesday,12,Latte,Coffee,1,95,95,Mobile
TX00176,2024-01-03,Wednesday,11,Croissant,Pastry,1,75,75,Cash
TX00177,2024-01-03,Wednesday,19,Cheesecake,Dessert,1,140,140,Card
TX00178,2024-01-03,Wednesday,12,Sandwich,Food,2,130,260,Mobile
TX00179,2024-01-03,Wednesday,9,Green Tea,Tea,2,45,90,Card
TX00180,2024-01-03,Wednesday,8,Cheesecake,Dessert,1,140,140,Cash
TX00181,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00182,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00183,2024-01-03,Wednesday,12,Croissant,Pastry,1,75,75,Cash
TX00184,2024-01-03,Wednesday,13,Filter Coffee,Coffee,1,70,70,Card
TX00185,2024-01-03,Wednesday,19,Green Tea,Tea,1,45,45,Mobile
TX00186,2024-01-03,Wednesday,12,Green Tea,Tea,2,45,90,Cash
TX00187,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00188,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00189,2024-01-03,Wednesday,20,Brownie,Dessert,1,110,110,Card
TX00190,2024-01-03,Wednesday,10,Cheesecake,Dessert,1,140,140,Card
TX00191,2024-01-03,Wednesday,19,Sandwich,Food,1,130,130,Cash
TX00192,2024-01-03,Wednesday,9,Croissant,Pastry,1,75,75,Card
TX00193,2024-01-03,Wednesday,19,Latte,Coffee,1,95,95,Cash
TX00194,2024-01-03,Wednesday,18,Cheesecake,Dessert,1,140,140,Card
TX00195,2024-01-03,Wednesday,10,Cappuccino,Coffee,1,90,90,Mobile
TX00196,2024-01-03,Wednesday,16,Black Tea,Tea,1,35,35,Mobile
TX00197,2024-01-03,Wednesday,9,Filter Coffee,Coffee,1,70,70,Card
TX00198,2024-01-03,Wednesday,8,Croissant,Pastry,2,75,150,Card
TX00199,2024-01-03,Wednesday,18,Sandwich,Food,1,130,130,Card
TX00200,2024-01-03,Wednesday,16,Cheesecake,Dessert,1,140,140,Cash
TX00201,2024-01-03,Wednesday,21,Sandwich,Food,1,130,130,Card
TX00202,2024-01-03,Wednesday,22,Croissant,Pastry,1,75,75,Mobile
TX00203,2024-01-03,Wednesday,20,Green Tea,Tea,1,45,45,Card
TX00204,2024-01-03,Wednesday,8,Cappuccino,Coffee,2,90,180,Card
TX00205,2024-01-03,Wednesday,12,Filter Coffee,Coffee,1,70,70,Mobile
TX00206,2024-01-03,Wednesday,12,Filter Coffee,Coffee,1,70,70,Card
TX00207,2024-01-03,Wednesday,10,Filter Coffee,Coffee,1,70,70,Card
TX00208,2024-01-03,Wednesday,14,Black Tea,Tea,2,35,70,Card
TX00209,2024-01-03,Wednesday,16,Cheesecake,Dessert,1,140,140,Cash
TX00210,2024-01-03,Wednesday,9,Sandwich,Food,1,130,130,Card
TX00211,2024-01-03,Wednesday,9,Sandwich,Food,1,130,130,Card
TX00212,2024-01-03,Wednesday,8,Cheesecake,Dessert,1,140,140,Mobile
TX00213,2024-01-03,Wednesday,10,Latte,Coffee,1,95,95,Card
TX00214,2024-01-03,Wednesday,16,Espresso,Coffee,2,65,130,Card
TX00215,2024-01-03,Wednesday,14,Black Tea,Tea,1,35,35,Card
TX00216,2024-01-03,Wednesday,9,Latte,Coffee,2,95,190,Mobile
TX00217,2024-01-03,Wednesday,12,Cappuccino,Coffee,1,90,90,Card
TX00218,2024-01-03,Wednesday,8,Espresso,Coffee,1,65,65,Cash
TX00219,2024-01-03,Wednesday,8,Latte,Coffee,1,95,95,Cash
TX00220,2024-01-03,Wednesday,8,Espresso,Coffee,2,65,130,Card
TX00221,2024-01-03,Wednesday,18,Cappuccino,Coffee,1,90,90,Card
TX00222,2024-01-03,Wednesday,18,Croissant,Pastry,2,75,150,Card
TX00223,2024-01-03,Wednesday,18,Cappuccino,Coffee,1,90,90,Mobile
TX00224,2024-01-03,Wednesday,8,Espresso,Coffee,1,65,65,Card
TX00225,2024-01-03,Wednesday,9,Filter Coffee,Coffee,1,70,70,Mobile
TX00226,2024-01-03,Wednesday,19,Black Tea,Tea,1,35,35,Card
TX00227,2024-01-04,Thursday,17,Filter Coffee,Coffee,1,70,70,Card
TX00228,2024-01-04,Thursday,15,Black Tea,Tea,1,35,35,Mobile
TX00229,2024-01-04,Thursday,19,Latte,Coffee,2,95,190,Card
TX00230,2024-01-04,Thursday,20,Brownie,Dessert,1,110,110,Card
TX00231,2024-01-04,Thursday,11,Filter Coffee,Coffee,1,70,70,Card
TX00232,2024-01-04,Thursday,9,Croissant,Pastry,3,75,225,Card
TX00233,2024-01-04,Thursday,9,Latte,Coffee,1,95,95,Mobile
TX00234,2024-01-04,Thursday,9,Filter Coffee,Coffee,1,70,70,Card
TX00235,2024-01-04,Thursday,18,Croissant,Pastry,1,75,75,Card
TX00236,2024-01-04,Thursday,9,Croissant,Pastry,2,75,150,Card
TX00237,2024-01-04,Thursday,17,Cheesecake,Dessert,1,140,140,Mobile
TX00238,2024-01-04,Thursday,13,Filter Coffee,Coffee,1,70,70,Card
TX00239,2024-01-04,Thursday,9,Cheesecake,Dessert,1,140,140,Card
TX00240,2024-01-04,Thursday,10,Cappuccino,Coffee,1,90,90,Card
TX00241,2024-01-04,Thursday,18,Filter Coffee,Coffee,1,70,70,Card
TX00242,2024-01-04,Thursday,18,Sandwich,Food,1,130,130,Card
TX00243,2024-01-04,Thursday,8,Latte,Coffee,1,95,95,Card
TX00244,2024-01-04,Thursday,14,Green Tea,Tea,1,45,45,Cash
TX00245,2024-01-04,Thursday,9,Espresso,Coffee,1,65,65,Card
TX00246,2024-01-04,Thursday,18,Green Tea,Tea,1,45,45,Cash
TX00247,2024-01-04,Thursday,19,Brownie,Dessert,1,110,110,Card
TX00248,2024-01-04,Thursday,12,Espresso,Coffee,2,65,130,Card
TX00249,2024-01-04,Thursday,21,Green Tea,Tea,1,45,45,Card
TX00250,2024-01-04,Thursday,20,Brownie,Dessert,2,110,220,Cash
TX00251,2024-01-04,Thursday,18,Croissant,Pastry,1,75,75,Card
